"Marca temporal","Qué marca de automóvil utiliza actualmente","Qué marca de automóvil usaba antes de su actual (puede elegir lo mismo)"
"2018/04/21 5:32:28 p. m. GMT-5","Ford","Ford"
"2018/04/21 5:32:29 p. m. GMT-5","No tengo carro","No tenía carro"
"2018/04/21 5:40:00 p. m. GMT-5","No tengo carro","No tenía carro"
"2018/04/21 5:43:16 p. m. GMT-5","Mazda","Peugeot "
"2018/04/21 5:45:40 p. m. GMT-5","Chrysler","Chrysler"
"2018/04/21 5:47:36 p. m. GMT-5","Ford","Chrysler"
"2018/04/21 5:55:32 p. m. GMT-5","Volkswagen","Volkswagen"
"2018/04/21 6:04:51 p. m. GMT-5","Volkswagen","No tenía carro"
"2018/04/21 6:05:18 p. m. GMT-5","No tengo carro","No tenía carro"
"2018/04/21 6:16:13 p. m. GMT-5","Hyundai","Ford"
"2018/04/21 6:19:43 p. m. GMT-5","Ford","Ford"
"2018/04/21 6:22:15 p. m. GMT-5","No tengo carro","No tenía carro"
"2018/04/21 6:44:45 p. m. GMT-5","Volkswagen","Volkswagen"
"2018/04/21 6:44:46 p. m. GMT-5","Chrysler","No tenía carro"
"2018/04/21 6:48:46 p. m. GMT-5","Mazda","Volkswagen"
"2018/04/21 6:58:37 p. m. GMT-5","Ford","Volkswagen"
"2018/04/21 7:14:34 p. m. GMT-5","No tengo carro","No tenía carro"
"2018/04/21 7:14:57 p. m. GMT-5","Volkswagen","Volkswagen"
"2018/04/21 7:44:02 p. m. GMT-5","No tengo carro","No tenía carro"
"2018/04/22 7:32:51 p. m. GMT-5","Ford","Ford"
"2018/04/23 8:25:33 a. m. GMT-5","Volkswagen","Volkswagen"
